DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  41, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  42, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  43, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  44, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  45, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  46, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  47, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  48, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  49, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  50, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  51, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  52, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  53, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  54, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  55, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  56, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  57, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  58, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  59, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  60, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
